"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"SBIN","EQ","07-Apr-2020","        175.50","        184.40","        187.30","        177.60","        185.75","        186.40","        182.25","   72133717","         13146682223.20","     486914","   15551736","         21.56"
"SBIN","EQ","08-Apr-2020","        186.40","        182.90","        194.40","        180.45","        182.80","        183.00","        186.60","   80436673","         15009874887.25","     501541","   12076385","         15.01"
"SBIN","EQ","09-Apr-2020","        183.00","        188.00","        190.00","        183.60","        187.55","        187.75","        187.20","   62417301","         11684531636.40","     366071","    9350138","         14.98"
"SBIN","EQ","13-Apr-2020","        187.75","        186.80","        188.70","        183.10","        184.05","        183.50","        184.91","   51847574","          9587103983.10","     290728","   12593076","         24.29"
"SBIN","EQ","15-Apr-2020","        183.50","        187.00","        191.95","        180.15","        183.00","        182.35","        186.79","   72190294","         13484596093.45","     434961","   14918003","         20.66"
"SBIN","EQ","16-Apr-2020","        182.35","        182.00","        189.90","        180.25","        189.10","        188.50","        185.39","   61165997","         11339405469.40","     355374","   10924032","         17.86"
"SBIN","EQ","17-Apr-2020","        188.50","        196.00","        198.00","        186.30","        192.90","        193.25","        191.20","   89858053","         17180519673.80","     490326","   15714285","         17.49"
"SBIN","EQ","20-Apr-2020","        193.25","        194.00","        197.35","        190.05","        192.10","        192.50","        193.79","   81961666","         15883373690.40","     443580","   13017282","         15.88"
"SBIN","EQ","21-Apr-2020","        192.50","        188.00","        188.20","        183.00","        185.00","        184.75","        185.45","   53043573","          9836877837.55","     312425","   13851290","         26.11"
"SBIN","EQ","22-Apr-2020","        184.75","        185.50","        189.50","        181.35","        187.85","        188.70","        185.69","   61503792","         11420608394.40","     330480","   10966102","         17.83"
"SBIN","EQ","23-Apr-2020","        188.70","        187.75","        189.90","        185.15","        186.20","        186.70","        187.59","   50957437","          9559072951.25","     293810","    9331208","         18.31"
"SBIN","EQ","24-Apr-2020","        186.70","        184.00","        184.00","        179.00","        180.15","        179.75","        181.25","   65146846","         11807842268.95","     416448","   21469774","         32.96"
"SBIN","EQ","27-Apr-2020","        179.75","        183.50","        183.50","        180.50","        181.00","        180.90","        181.89","   43003001","          7821622427.15","     228810","   11778938","         27.39"
"SBIN","EQ","28-Apr-2020","        180.90","        182.00","        185.35","        181.20","        184.50","        184.30","        183.38","   49590249","          9093809551.60","     224161","   16604968","         33.48"
"SBIN","EQ","29-Apr-2020","        184.30","        185.00","        191.80","        183.50","        189.55","        190.10","        187.61","   57470639","         10782197699.25","     310886","   19558253","         34.03"
"SBIN","EQ","30-Apr-2020","        190.10","        193.50","        195.90","        189.70","        190.20","        190.50","        193.16","   63069460","         12182653761.20","     366664","   16861785","         26.74"
"SBIN","EQ","04-May-2020","        190.50","        182.45","        183.50","        178.00","        179.30","        178.85","        179.95","   58122608","         10458992243.55","     488730","   24655136","         42.42"
"SBIN","EQ","05-May-2020","        178.85","        181.00","        181.25","        168.80","        171.40","        170.40","        174.56","   91050629","         15894165260.95","     637656","   32473844","         35.67"
"SBIN","EQ","06-May-2020","        170.40","        171.15","        173.30","        166.55","        171.95","        171.10","        170.24","   73156881","         12454543783.80","     446943","   12890724","         17.62"
"SBIN","EQ","07-May-2020","        171.10","        170.85","        172.55","        168.80","        170.95","        170.75","        170.58","   42944139","          7325456141.85","     270188","    9345582","         21.76"
"SBIN","EQ","08-May-2020","        170.75","        172.45","        173.80","        166.10","        166.90","        166.65","        169.16","   55935527","          9462219595.60","     387275","   15664803","         28.01"
"SBIN","EQ","11-May-2020","        166.65","        167.95","        168.90","        165.00","        165.25","        165.45","        166.54","   54594499","          9092262580.30","     358472","   11375721","         20.84"
"SBIN","EQ","12-May-2020","        165.45","        164.20","        168.50","        160.85","        167.10","        166.90","        163.70","   70752913","         11582474386.95","     412383","   21334322","         30.15"
"SBIN","EQ","13-May-2020","        166.90","        178.55","        178.55","        170.50","        174.50","        174.10","        174.09","   81721884","         14227244081.75","     409330","   22769458","         27.86"
"SBIN","EQ","14-May-2020","        174.10","        170.95","        171.75","        167.50","        168.30","        167.95","        169.36","   48137099","          8152318123.35","     277659","   12710652","         26.41"
"SBIN","EQ","15-May-2020","        167.95","        167.95","        168.25","        164.70","        166.45","        166.40","        166.17","   35498484","          5898769442.60","     225551","    6968087","         19.63"
"SBIN","EQ","18-May-2020","        166.40","        166.40","        166.40","        155.00","        155.45","        155.30","        157.74","   77350889","         12201168539.80","     585750","   28349251","         36.65"
"SBIN","EQ","19-May-2020","        155.30","        157.50","        157.85","        152.40","        153.05","        152.80","        154.90","   71522983","         11079136483.20","     402913","   18090042","         25.29"
"SBIN","EQ","20-May-2020","        152.80","        153.00","        155.25","        151.15","        153.60","        153.40","        152.99","   66178068","         10124624876.60","     339861","   23149357","         34.98"
"SBIN","EQ","21-May-2020","        153.40","        153.65","        156.15","        151.50","        152.00","        151.95","        154.02","   61150189","          9418429265.70","     358655","   21174615","         34.63"
"SBIN","EQ","22-May-2020","        151.95","        152.00","        155.60","        149.45","        151.10","        150.85","        151.90","   87069955","         13226112171.65","     485367","   21241024","         24.40"
"SBIN","EQ","26-May-2020","        150.85","        152.40","        153.20","        150.20","        151.60","        151.40","        151.82","   48281208","          7329862347.60","     248836","   15952717","         33.04"
"SBIN","EQ","27-May-2020","        151.40","        151.95","        160.80","        150.80","        158.60","        158.60","        155.74","   88206678","         13737078673.55","     380745","   23542822","         26.69"
"SBIN","EQ","28-May-2020","        158.60","        159.45","        162.40","        156.70","        157.90","        158.20","        159.38","   76970390","         12267354053.65","     364211","   15994004","         20.78"
"SBIN","EQ","29-May-2020","        158.20","        156.10","        161.90","        155.20","        161.30","        161.30","        159.32","   58368035","          9299372740.80","     291350","   14595507","         25.01"
"SBIN","EQ","01-Jun-2020","        161.30","        164.00","        171.40","        163.35","        169.90","        170.05","        168.77","   92742124","         15652017386.10","     437760","   20415146","         22.01"
"SBIN","EQ","02-Jun-2020","        170.05","        169.90","        171.30","        167.20","        170.55","        170.25","        169.27","   70422258","         11920353532.05","     325940","   14298035","         20.30"
"SBIN","EQ","03-Jun-2020","        170.25","        172.50","        179.90","        172.00","        174.65","        174.90","        176.20","  113173574","         19941688899.00","     539428","   25775845","         22.78"
"SBIN","EQ","04-Jun-2020","        174.90","        174.90","        177.65","        171.50","        174.50","        174.05","        174.31","   83495015","         14553601015.05","     384768","   16557717","         19.83"
"SBIN","EQ","05-Jun-2020","        174.05","        176.55","        189.80","        176.00","        189.25","        187.80","        182.62","  201325176","         36765807986.90","     858150","   37943833","         18.85"
"SBIN","EQ","08-Jun-2020","        187.80","        197.00","        197.50","        185.80","        186.50","        186.80","        191.97","  151750421","         29130836084.55","     727718","   42655560","         28.11"
"SBIN","EQ","09-Jun-2020","        186.80","        187.70","        191.00","        183.35","        183.75","        184.45","        187.15","   96656234","         18088851547.45","     462962","   18258079","         18.89"
"SBIN","EQ","10-Jun-2020","        184.45","        184.55","        189.00","        183.80","        188.80","        187.70","        186.08","   67335901","         12529741455.10","     330207","   11188551","         16.62"
"SBIN","EQ","11-Jun-2020","        187.70","        188.00","        190.40","        176.35","        177.20","        177.15","        183.03","   91729798","         16789033683.55","     478372","   23909641","         26.07"
"SBIN","EQ","12-Jun-2020","        177.15","        170.00","        180.00","        169.80","        178.85","        179.15","        174.57","   92761694","         16193569563.90","     424338","   15372122","         16.57"
"SBIN","EQ","15-Jun-2020","        179.15","        177.85","        177.85","        172.00","        173.55","        173.70","        174.05","   63617286","         11072827745.65","     314930","   11872928","         18.66"
"SBIN","EQ","16-Jun-2020","        173.70","        178.00","        178.95","        169.40","        172.55","        172.90","        174.16","   63929925","         11133743951.30","     295248","    9484014","         14.84"
"SBIN","EQ","17-Jun-2020","        172.90","        171.00","        176.20","        169.25","        172.80","        172.95","        173.19","   73867145","         12793344374.45","     337640","   10915007","         14.78"
"SBIN","EQ","18-Jun-2020","        172.95","        172.40","        180.65","        171.10","        180.00","        179.65","        176.37","   58262367","         10275826038.10","     274070","   12595472","         21.62"
"SBIN","EQ","19-Jun-2020","        179.65","        180.30","        184.95","        179.50","        184.25","        184.50","        182.93","   76897890","         14067234742.35","     324544","   15049467","         19.57"
"SBIN","EQ","22-Jun-2020","        184.50","        185.00","        191.75","        184.25","        187.90","        187.70","        188.68","   80024673","         15099414815.20","     412445","   16662588","         20.82"
"SBIN","EQ","23-Jun-2020","        187.70","        189.60","        193.10","        187.85","        192.95","        192.45","        191.05","   65487726","         12511327092.90","     318473","    8162620","         23.27"
"SBIN","EQ","24-Jun-2020","        192.45","        194.80","        194.90","        183.90","        184.50","        184.60","        189.87","   74670206","         14177864459.10","     374457","   16254665","         21.77"
"SBIN","EQ","25-Jun-2020","        184.60","        182.20","        186.80","        180.40","        185.70","        185.25","        184.27","   73626947","         13567037838.25","     337252","   12483960","         16.96"
"SBIN","EQ","26-Jun-2020","        185.25","        188.00","        188.60","        183.80","        184.65","        184.60","        185.69","   49178705","          9131826071.05","     213443","    8422000","         17.13"
"SBIN","EQ","29-Jun-2020","        184.60","        183.00","        183.10","        178.50","        179.45","        179.25","        179.99","   50967079","          9173634288.20","     268482","   12190968","         23.92"
"SBIN","EQ","30-Jun-2020","        179.25","        181.10","        182.90","        177.25","        179.05","        178.45","        179.88","   43616291","          7845767108.05","     211383","    8345103","         19.13"
"SBIN","EQ","01-Jul-2020","        178.45","        179.45","        185.40","        178.60","        184.60","        184.80","        182.86","   54015536","          9877262243.15","     248849","   10498374","         19.44"
"SBIN","EQ","02-Jul-2020","        184.80","        185.65","        188.00","        184.00","        185.60","        185.45","        186.13","   52127613","          9702374603.60","     251208","    7943823","         15.24"
"SBIN","EQ","03-Jul-2020","        185.45","        186.65","        186.85","        183.40","        184.65","        184.70","        184.82","   38050996","          7032538519.10","     169515","    6310460","         16.58"
"SBIN","EQ","06-Jul-2020","        184.70","        186.60","        189.85","        186.15","        187.90","        188.05","        188.35","   43789749","          8247963041.70","     215925","    9492655","         21.68"
"SBIN","EQ","07-Jul-2020","        188.05","        187.00","        189.20","        184.05","        188.00","        188.60","        186.66","   55124984","         10289405173.90","     245296","    7395581","         13.42"
"SBIN","EQ","08-Jul-2020","        188.60","        188.90","        197.45","        188.40","        191.70","        191.90","        194.17","  143083196","         27782845489.70","     620914","   33127615","         23.15"
"SBIN","EQ","09-Jul-2020","        191.90","        192.80","        201.00","        192.55","        199.85","        199.10","        196.73","   89540860","         17615459869.25","     394257","   18566358","         20.74"
"SBIN","EQ","10-Jul-2020","        199.10","        198.00","        202.50","        194.80","        195.50","        195.60","        198.49","  111410003","         22114162772.55","     501575","   16941444","         15.21"
"SBIN","EQ","13-Jul-2020","        195.60","        198.80","        199.80","        191.60","        193.00","        192.70","        194.57","   61952344","         12054138665.15","     271373","   11005895","         17.77"
"SBIN","EQ","14-Jul-2020","        192.70","        192.30","        192.30","        184.60","        186.35","        186.05","        187.11","   62243325","         11646202014.75","     308731","   11999553","         19.28"
"SBIN","EQ","15-Jul-2020","        186.05","        187.95","        189.95","        183.00","        184.50","        183.80","        186.97","   58528072","         10943210357.85","     257119","    8885886","         15.18"
"SBIN","EQ","16-Jul-2020","        183.80","        185.00","        186.95","        181.65","        186.00","        186.25","        184.69","   46549518","          8597017197.55","     222270","    4223776","          9.07"
"SBIN","EQ","17-Jul-2020","        186.25","        186.80","        189.50","        185.00","        189.50","        188.20","        186.87","   47035751","          8789709694.55","     214673","    7773003","         16.53"
"SBIN","EQ","20-Jul-2020","        188.20","        190.00","        193.25","        188.75","        190.55","        190.75","        191.29","   45680606","          8738355818.25","     232252","    7614254","         16.67"
"SBIN","EQ","21-Jul-2020","        190.75","        192.45","        196.20","        191.50","        194.50","        194.40","        194.00","   59286092","         11501760802.10","     274154","   14017289","         23.64"
"SBIN","EQ","22-Jul-2020","        194.40","        195.70","        196.75","        190.10","        192.15","        192.00","        192.70","   62276770","         12000996123.35","     265443","    9648381","         15.49"
"SBIN","EQ","23-Jul-2020","        192.00","        192.40","        199.10","        191.15","        198.25","        198.25","        195.98","   70802269","         13875536349.75","     303119","   15316728","         21.63"
"SBIN","EQ","24-Jul-2020","        198.25","        195.70","        196.30","        190.65","        191.95","        191.95","        192.79","   65266228","         12582576674.65","     277739","   12514462","         19.17"
"SBIN","EQ","27-Jul-2020","        191.95","        193.00","        193.20","        186.50","        187.30","        187.15","        188.31","   50714366","          9550261761.80","     253742","    8591985","         16.94"
"SBIN","EQ","28-Jul-2020","        187.15","        188.00","        190.50","        185.75","        188.75","        189.45","        188.19","   51490418","          9689854836.75","     218359","    8122193","         15.77"
"SBIN","EQ","29-Jul-2020","        189.45","        187.60","        195.25","        187.00","        191.05","        191.20","        192.35","   73766851","         14189338772.20","     310167","   10700813","         14.51"
"SBIN","EQ","30-Jul-2020","        191.20","        192.50","        193.50","        186.05","        186.85","        186.55","        189.37","   48478733","          9180480855.25","     231416","   10830042","         22.34"
"SBIN","EQ","31-Jul-2020","        186.55","        188.00","        194.85","        186.70","        191.05","        191.45","        191.75","  145903102","         27977057495.20","     567541","   19089678","         13.08"
"SBIN","EQ","03-Aug-2020","        191.45","        192.00","        194.60","        190.05","        192.30","        192.25","        192.68","   72457670","         13960790846.35","     308823","    9698233","         13.38"
"SBIN","EQ","04-Aug-2020","        192.25","        193.35","        193.80","        190.50","        191.95","        191.60","        191.84","   43867110","          8415652236.90","     176987","    6362150","         14.50"
"SBIN","EQ","05-Aug-2020","        191.60","        192.75","        196.85","        191.00","        191.80","        191.45","        193.91","   68888954","         13358210177.05","     271605","    9480012","         13.76"
"SBIN","EQ","06-Aug-2020","        191.45","        192.30","        194.50","        190.25","        191.15","        190.95","        192.34","   59740299","         11490685556.85","     239032","    7633674","         12.78"
"SBIN","EQ","07-Aug-2020","        190.95","        191.45","        192.10","        189.55","        190.85","        190.65","        190.90","   44822757","          8556666395.90","     186761","    9053179","         20.20"
"SBIN","EQ","10-Aug-2020","        190.65","        191.85","        195.50","        191.70","        193.75","        193.80","        194.04","   48785067","          9466132289.00","     217990","   11696209","         23.97"
"SBIN","EQ","11-Aug-2020","        193.80","        195.00","        196.80","        193.75","        195.45","        195.05","        195.21","   43892064","          8567982829.80","     187086","   10689304","         24.35"
"SBIN","EQ","12-Aug-2020","        195.05","        196.00","        204.25","        194.60","        203.50","        203.30","        201.71","  157820882","         31833832395.85","     635995","   28141080","         17.83"
"SBIN","EQ","13-Aug-2020","        203.30","        205.50","        207.30","        200.75","        202.35","        201.90","        203.84","   70443500","         14359142142.15","     298211","   15013653","         21.31"
"SBIN","EQ","14-Aug-2020","        201.90","        203.00","        204.00","        194.60","        196.80","        196.50","        199.28","   56176117","         11194811495.30","     263498","   13133609","         23.38"
"SBIN","EQ","17-Aug-2020","        196.50","        198.45","        198.65","        191.50","        193.45","        193.10","        193.46","   54788249","         10599529586.20","     278249","   15925259","         29.07"
"SBIN","EQ","18-Aug-2020","        193.10","        193.80","        195.75","        191.70","        195.10","        195.10","        193.66","   46295650","          8965420036.00","     215268","    7970561","         17.22"
"SBIN","EQ","19-Aug-2020","        195.10","        196.40","        200.30","        195.90","        197.20","        197.05","        198.53","   59302164","         11773447880.45","     265310","   10065279","         16.97"
"SBIN","EQ","20-Aug-2020","        197.05","        194.00","        196.35","        193.25","        194.95","        194.75","        194.88","   37505379","          7308941744.90","     193765","    7719774","         20.58"
"SBIN","EQ","21-Aug-2020","        194.75","        199.00","        201.50","        197.65","        198.10","        198.40","        199.63","   68047789","         13584540895.75","     304905","   14003071","         20.58"
"SBIN","EQ","24-Aug-2020","        198.40","        200.00","        202.80","        198.60","        201.05","        201.45","        200.76","   53866579","         10814196646.75","     250904","   11069743","         20.55"
"SBIN","EQ","25-Aug-2020","        201.45","        204.00","        208.45","        202.70","        208.25","        207.95","        206.34","  105397006","         21748127547.95","     475915","   24003422","         22.77"
"SBIN","EQ","26-Aug-2020","        207.95","        208.50","        210.35","        206.15","        209.90","        209.85","        208.62","   66750983","         13925759215.85","     304925","   14858804","         22.26"
"SBIN","EQ","27-Aug-2020","        209.85","        210.50","        216.50","        210.50","        216.00","        215.65","        214.22","   80999489","         17351749785.30","     450426","   20980013","         25.90"
"SBIN","EQ","28-Aug-2020","        215.65","        217.00","        225.90","        216.80","        225.40","        224.85","        222.03","   95983850","         21311622777.95","     420611","   19675199","         20.50"
"SBIN","EQ","31-Aug-2020","        224.85","        231.55","        231.55","        210.35","        211.90","        212.00","        219.31","  119990567","         26315515801.70","     562903","   24560366","         20.47"
"SBIN","EQ","01-Sep-2020","        212.00","        213.10","        218.90","        211.20","        218.70","        218.10","        215.58","   75048317","         16179224434.75","     330635","   10939215","         14.58"
"SBIN","EQ","02-Sep-2020","        218.10","        218.25","        219.00","        212.30","        216.30","        216.25","        214.67","   47608719","         10220044448.35","     224862","    6554056","         13.77"
"SBIN","EQ","03-Sep-2020","        216.25","        217.50","        218.25","        212.30","        213.30","        213.15","        214.54","   38595597","          8280306623.65","     195109","    9594317","         24.86"
"SBIN","EQ","04-Sep-2020","        213.15","        210.00","        212.30","        205.90","        207.50","        206.60","        208.61","   54435819","         11356011017.70","     261047","   10083849","         18.52"
"SBIN","EQ","07-Sep-2020","        206.60","        207.50","        209.65","        205.40","        208.25","        207.90","        207.62","   35687677","          7409441527.05","     185712","    3495554","          9.79"
"SBIN","EQ","08-Sep-2020","        207.90","        207.90","        208.50","        202.90","        203.25","        204.05","        206.55","   34147081","          7052942372.80","     168151","    4865434","         14.25"
"SBIN","EQ","09-Sep-2020","        204.05","        201.10","        201.40","        192.50","        195.70","        194.85","        195.68","   72716962","         14229000658.70","     414595","   19860833","         27.31"
"SBIN","EQ","10-Sep-2020","        194.85","        197.70","        201.45","        195.20","        198.55","        198.15","        198.48","   67790247","         13455257099.10","     305442","    8109659","         11.96"
"SBIN","EQ","11-Sep-2020","        198.15","        198.55","        203.85","        197.00","        203.70","        202.70","        199.89","   48488142","          9692316825.55","     233409","    5201360","         10.73"
"SBIN","EQ","14-Sep-2020","        202.70","        205.90","        206.20","        197.35","        198.20","        198.50","        201.65","   63606706","         12826483294.95","     299382","   13449014","         21.14"
"SBIN","EQ","15-Sep-2020","        198.50","        199.90","        201.00","        197.10","        199.80","        200.15","        199.05","   51762796","         10303432695.25","     193091","   12873389","         24.87"
"SBIN","EQ","16-Sep-2020","        200.15","        199.85","        200.05","        196.25","        198.00","        198.20","        198.06","   52407160","         10379768431.40","     348569","   14578240","         27.82"
"SBIN","EQ","17-Sep-2020","        198.20","        197.00","        198.00","        195.00","        195.70","        195.45","        196.19","   41226058","          8087951751.50","     297990","   11413746","         27.69"
"SBIN","EQ","18-Sep-2020","        195.45","        196.00","        197.20","        189.70","        192.95","        192.60","        193.79","   55286449","         10713912925.60","     263886","   15739695","         28.47"
"SBIN","EQ","21-Sep-2020","        192.60","        193.05","        193.50","        184.25","        185.40","        185.80","        188.77","   57614739","         10876016397.25","     311832","   15185227","         26.36"
"SBIN","EQ","22-Sep-2020","        185.80","        186.15","        188.30","        181.15","        187.00","        186.20","        185.25","   51216440","          9487855529.45","     278193","    7158936","         13.98"
"SBIN","EQ","23-Sep-2020","        186.20","        188.15","        188.95","        181.00","        184.15","        183.80","        184.03","   44321881","          8156548114.30","     233546","    7118706","         16.06"
"SBIN","EQ","24-Sep-2020","        183.80","        181.10","        181.80","        175.50","        176.45","        176.35","        178.59","   46115352","          8235929439.45","     286558","   12700503","         27.54"
"SBIN","EQ","25-Sep-2020","        176.35","        179.00","        182.75","        176.15","        182.25","        182.20","        179.71","   46550618","          8365426528.30","     213017","    7170816","         15.40"
"SBIN","EQ","28-Sep-2020","        182.20","        184.00","        188.15","        183.35","        187.45","        187.25","        186.34","   41921659","          7811518827.55","     195148","    6606392","         15.76"
"SBIN","EQ","29-Sep-2020","        187.25","        188.50","        188.95","        183.25","        185.30","        185.05","        185.23","   35688939","          6610753974.95","     146100","    3785103","         10.61"
"SBIN","EQ","30-Sep-2020","        185.05","        185.05","        186.80","        182.40","        185.20","        185.40","        184.91","   37642302","          6960340645.75","     159069","    5421166","         14.40"
"SBIN","EQ","01-Oct-2020","        185.40","        187.00","        191.20","        186.90","        190.20","        190.30","        189.71","   43589041","          8269381207.05","     195571","    7861957","         18.04"
