Symbol,Series,Date,Prev Close,Close Price
TATAMOTORS,EQ,07-Apr-2020,65.3,67.25
TATAMOTORS,EQ,08-Apr-2020,67.25,67.6
TATAMOTORS,EQ,09-Apr-2020,67.6,74.6
TATAMOTORS,EQ,13-Apr-2020,74.6,74.25
TATAMOTORS,EQ,15-Apr-2020,74.25,72.9
TATAMOTORS,EQ,16-Apr-2020,72.9,74.65
TATAMOTORS,EQ,17-Apr-2020,74.65,76.85
TATAMOTORS,EQ,20-Apr-2020,76.85,80.45
TATAMOTORS,EQ,21-Apr-2020,80.45,74.65
TATAMOTORS,EQ,22-Apr-2020,74.65,75.9
TATAMOTORS,EQ,23-Apr-2020,75.9,75.65
TATAMOTORS,EQ,24-Apr-2020,75.65,74.2
TATAMOTORS,EQ,27-Apr-2020,74.2,75.25
TATAMOTORS,EQ,28-Apr-2020,75.25,76.95
TATAMOTORS,EQ,29-Apr-2020,76.95,78.15
TATAMOTORS,EQ,30-Apr-2020,78.15,93.25
TATAMOTORS,EQ,04-May-2020,93.25,83.9
TATAMOTORS,EQ,05-May-2020,83.9,80.9
TATAMOTORS,EQ,06-May-2020,80.9,83.2
TATAMOTORS,EQ,07-May-2020,83.2,82.5
TATAMOTORS,EQ,08-May-2020,82.5,81.05
TATAMOTORS,EQ,11-May-2020,81.05,86.1
TATAMOTORS,EQ,12-May-2020,86.1,86.2
TATAMOTORS,EQ,13-May-2020,86.2,87.2
TATAMOTORS,EQ,14-May-2020,87.2,83.8
TATAMOTORS,EQ,15-May-2020,83.8,84.35
TATAMOTORS,EQ,18-May-2020,84.35,80.65
TATAMOTORS,EQ,19-May-2020,80.65,81.8
TATAMOTORS,EQ,20-May-2020,81.8,83.45
TATAMOTORS,EQ,21-May-2020,83.45,84.1
TATAMOTORS,EQ,22-May-2020,84.1,82.8
TATAMOTORS,EQ,26-May-2020,82.8,83.1
TATAMOTORS,EQ,27-May-2020,83.1,84.55
TATAMOTORS,EQ,28-May-2020,84.55,87
TATAMOTORS,EQ,29-May-2020,87,87
TATAMOTORS,EQ,01-Jun-2020,87,89.55
TATAMOTORS,EQ,02-Jun-2020,89.55,96.5
TATAMOTORS,EQ,03-Jun-2020,96.5,98.75
TATAMOTORS,EQ,04-Jun-2020,98.75,98.5
TATAMOTORS,EQ,05-Jun-2020,98.5,110.75
TATAMOTORS,EQ,08-Jun-2020,110.75,115.45
TATAMOTORS,EQ,09-Jun-2020,115.45,111.45
TATAMOTORS,EQ,10-Jun-2020,111.45,111.4
TATAMOTORS,EQ,11-Jun-2020,111.4,106.15
TATAMOTORS,EQ,12-Jun-2020,106.15,105.3
TATAMOTORS,EQ,15-Jun-2020,105.3,100.5
TATAMOTORS,EQ,16-Jun-2020,100.5,94.75
TATAMOTORS,EQ,17-Jun-2020,94.75,95.4
TATAMOTORS,EQ,18-Jun-2020,95.4,96.35
TATAMOTORS,EQ,19-Jun-2020,96.35,102.5
TATAMOTORS,EQ,22-Jun-2020,102.5,102.65
TATAMOTORS,EQ,23-Jun-2020,102.65,104.4
TATAMOTORS,EQ,24-Jun-2020,104.4,104.8
TATAMOTORS,EQ,25-Jun-2020,104.8,103.8
TATAMOTORS,EQ,26-Jun-2020,103.8,101.4
TATAMOTORS,EQ,29-Jun-2020,101.4,99.45
TATAMOTORS,EQ,30-Jun-2020,99.45,98.25
TATAMOTORS,EQ,01-Jul-2020,98.25,100.75
TATAMOTORS,EQ,02-Jul-2020,100.75,101.55
TATAMOTORS,EQ,03-Jul-2020,101.55,103.45
TATAMOTORS,EQ,06-Jul-2020,103.45,109
TATAMOTORS,EQ,07-Jul-2020,109,109.05
TATAMOTORS,EQ,08-Jul-2020,109.05,105.35
TATAMOTORS,EQ,09-Jul-2020,105.35,106.95
TATAMOTORS,EQ,10-Jul-2020,106.95,107.6
TATAMOTORS,EQ,13-Jul-2020,107.6,108
TATAMOTORS,EQ,14-Jul-2020,108,105.15
TATAMOTORS,EQ,15-Jul-2020,105.15,103.2
TATAMOTORS,EQ,16-Jul-2020,103.2,102.95
TATAMOTORS,EQ,17-Jul-2020,102.95,106.4
TATAMOTORS,EQ,20-Jul-2020,106.4,105.05
TATAMOTORS,EQ,21-Jul-2020,105.05,108.45
TATAMOTORS,EQ,22-Jul-2020,108.45,105.15
TATAMOTORS,EQ,23-Jul-2020,105.15,106.05
TATAMOTORS,EQ,24-Jul-2020,106.05,103.75
TATAMOTORS,EQ,27-Jul-2020,103.75,101.7
TATAMOTORS,EQ,28-Jul-2020,101.7,106.45
TATAMOTORS,EQ,29-Jul-2020,106.45,105.75
TATAMOTORS,EQ,30-Jul-2020,105.75,103.65
TATAMOTORS,EQ,31-Jul-2020,103.65,104.65
TATAMOTORS,EQ,03-Aug-2020,104.65,113.05
TATAMOTORS,EQ,04-Aug-2020,113.05,111.45
TATAMOTORS,EQ,05-Aug-2020,111.45,115.4
TATAMOTORS,EQ,06-Aug-2020,115.4,116.8
TATAMOTORS,EQ,07-Aug-2020,116.8,119.1
TATAMOTORS,EQ,10-Aug-2020,119.1,123.85
TATAMOTORS,EQ,11-Aug-2020,123.85,122.3
TATAMOTORS,EQ,12-Aug-2020,122.3,125.35
TATAMOTORS,EQ,13-Aug-2020,125.35,131.15
TATAMOTORS,EQ,14-Aug-2020,131.15,124.6
TATAMOTORS,EQ,17-Aug-2020,124.6,123.55
TATAMOTORS,EQ,18-Aug-2020,123.55,125.6
TATAMOTORS,EQ,19-Aug-2020,125.6,125.15
TATAMOTORS,EQ,20-Aug-2020,125.15,121.7
TATAMOTORS,EQ,21-Aug-2020,121.7,120.9
TATAMOTORS,EQ,24-Aug-2020,120.9,121.2
TATAMOTORS,EQ,25-Aug-2020,121.2,127.1
TATAMOTORS,EQ,26-Aug-2020,127.1,137.9
TATAMOTORS,EQ,27-Aug-2020,137.9,144.25
TATAMOTORS,EQ,28-Aug-2020,144.25,142.8
TATAMOTORS,EQ,31-Aug-2020,142.8,143.2
TATAMOTORS,EQ,01-Sep-2020,143.2,143.8
TATAMOTORS,EQ,02-Sep-2020,143.8,150.3
TATAMOTORS,EQ,03-Sep-2020,150.3,151.85
TATAMOTORS,EQ,04-Sep-2020,151.85,147.8
TATAMOTORS,EQ,07-Sep-2020,147.8,149.4
TATAMOTORS,EQ,08-Sep-2020,149.4,142.3
TATAMOTORS,EQ,09-Sep-2020,142.3,140.1
TATAMOTORS,EQ,10-Sep-2020,140.1,143.3
TATAMOTORS,EQ,11-Sep-2020,143.3,144.3
TATAMOTORS,EQ,14-Sep-2020,144.3,148.55
TATAMOTORS,EQ,15-Sep-2020,148.55,148.4
TATAMOTORS,EQ,16-Sep-2020,148.4,151.45
TATAMOTORS,EQ,17-Sep-2020,151.45,147.65
TATAMOTORS,EQ,18-Sep-2020,147.65,147.9
TATAMOTORS,EQ,21-Sep-2020,147.9,137.45
TATAMOTORS,EQ,22-Sep-2020,137.45,133.1
TATAMOTORS,EQ,23-Sep-2020,133.1,131.4
TATAMOTORS,EQ,24-Sep-2020,131.4,122.8
TATAMOTORS,EQ,25-Sep-2020,122.8,127.25
TATAMOTORS,EQ,28-Sep-2020,127.25,132.85
TATAMOTORS,EQ,29-Sep-2020,132.85,131.7
TATAMOTORS,EQ,30-Sep-2020,131.7,133.3
TATAMOTORS,EQ,01-Oct-2020,133.3,133.5
TATAMOTORS,EQ,05-Oct-2020,133.5,133.9
TATAMOTORS,EQ,06-Oct-2020,133.9,144.75
TATAMOTORS,EQ,07-Oct-2020,144.75,141
TATAMOTORS,EQ,08-Oct-2020,141,140.95
TATAMOTORS,EQ,09-Oct-2020,140.95,138.45
TATAMOTORS,EQ,12-Oct-2020,138.45,135.9
TATAMOTORS,EQ,13-Oct-2020,135.9,134.1
TATAMOTORS,EQ,14-Oct-2020,134.1,130.7
TATAMOTORS,EQ,15-Oct-2020,130.7,126.95
TATAMOTORS,EQ,16-Oct-2020,126.95,127.75
TATAMOTORS,EQ,19-Oct-2020,127.75,128.25
TATAMOTORS,EQ,20-Oct-2020,128.25,129.65
TATAMOTORS,EQ,21-Oct-2020,129.65,130.25
TATAMOTORS,EQ,22-Oct-2020,130.25,133.5
TATAMOTORS,EQ,23-Oct-2020,133.5,137
TATAMOTORS,EQ,26-Oct-2020,137,133.7
TATAMOTORS,EQ,27-Oct-2020,133.7,135.65
TATAMOTORS,EQ,28-Oct-2020,135.65,134.8
TATAMOTORS,EQ,29-Oct-2020,134.8,131.9
TATAMOTORS,EQ,30-Oct-2020,131.9,132.65
TATAMOTORS,EQ,02-Nov-2020,132.65,132.85
TATAMOTORS,EQ,03-Nov-2020,132.85,134.1
TATAMOTORS,EQ,04-Nov-2020,134.1,135.9
TATAMOTORS,EQ,05-Nov-2020,135.9,137.65
TATAMOTORS,EQ,06-Nov-2020,137.65,139
TATAMOTORS,EQ,09-Nov-2020,139,141
TATAMOTORS,EQ,10-Nov-2020,141,146
TATAMOTORS,EQ,11-Nov-2020,146,150.95
TATAMOTORS,EQ,12-Nov-2020,150.95,151.2
TATAMOTORS,EQ,13-Nov-2020,151.2,146.35
TATAMOTORS,EQ,14-Nov-2020,146.35,148.85
TATAMOTORS,EQ,17-Nov-2020,148.85,158
TATAMOTORS,EQ,18-Nov-2020,158,173.5
TATAMOTORS,EQ,19-Nov-2020,173.5,167.95
TATAMOTORS,EQ,20-Nov-2020,167.95,169.1
TATAMOTORS,EQ,23-Nov-2020,169.1,170.7
TATAMOTORS,EQ,24-Nov-2020,170.7,172.05
TATAMOTORS,EQ,25-Nov-2020,172.05,171.45
TATAMOTORS,EQ,26-Nov-2020,171.45,173.75
TATAMOTORS,EQ,27-Nov-2020,173.75,180.35
TATAMOTORS,EQ,01-Dec-2020,180.35,179.75
TATAMOTORS,EQ,02-Dec-2020,179.75,183.6
TATAMOTORS,EQ,03-Dec-2020,183.6,184.85
TATAMOTORS,EQ,04-Dec-2020,184.85,184.15
TATAMOTORS,EQ,07-Dec-2020,184.15,183.55
TATAMOTORS,EQ,08-Dec-2020,183.55,181.8
TATAMOTORS,EQ,09-Dec-2020,181.8,182.7
TATAMOTORS,EQ,10-Dec-2020,182.7,177.6
TATAMOTORS,EQ,11-Dec-2020,177.6,178.85
TATAMOTORS,EQ,14-Dec-2020,178.85,177.65
TATAMOTORS,EQ,15-Dec-2020,177.65,178.9
TATAMOTORS,EQ,16-Dec-2020,178.9,182.55
TATAMOTORS,EQ,17-Dec-2020,182.55,181.7
TATAMOTORS,EQ,18-Dec-2020,181.7,180.55
TATAMOTORS,EQ,21-Dec-2020,180.55,164.55
TATAMOTORS,EQ,22-Dec-2020,164.55,164.95
TATAMOTORS,EQ,23-Dec-2020,164.95,169.2
TATAMOTORS,EQ,24-Dec-2020,169.2,175.95
TATAMOTORS,EQ,28-Dec-2020,175.95,186.35
TATAMOTORS,EQ,29-Dec-2020,186.35,183.45
TATAMOTORS,EQ,30-Dec-2020,183.45,184.15
TATAMOTORS,EQ,31-Dec-2020,184.15,183.85
TATAMOTORS,EQ,01-Jan-2021,183.85,186.5
TATAMOTORS,EQ,04-Jan-2021,186.5,191.3
TATAMOTORS,EQ,05-Jan-2021,191.3,193.2
TATAMOTORS,EQ,06-Jan-2021,193.2,195.4
TATAMOTORS,EQ,07-Jan-2021,195.4,196.75
TATAMOTORS,EQ,08-Jan-2021,196.75,198.15
TATAMOTORS,EQ,11-Jan-2021,198.15,220.65
TATAMOTORS,EQ,12-Jan-2021,220.65,237.8
TATAMOTORS,EQ,13-Jan-2021,237.8,242.6
TATAMOTORS,EQ,14-Jan-2021,242.6,245.1
TATAMOTORS,EQ,15-Jan-2021,245.1,260.3
TATAMOTORS,EQ,18-Jan-2021,260.3,245.95
TATAMOTORS,EQ,19-Jan-2021,245.95,258.65
TATAMOTORS,EQ,20-Jan-2021,258.65,274.9
TATAMOTORS,EQ,21-Jan-2021,274.9,290.6
TATAMOTORS,EQ,22-Jan-2021,290.6,289.35
TATAMOTORS,EQ,25-Jan-2021,289.35,279.15
TATAMOTORS,EQ,27-Jan-2021,279.15,267.5
TATAMOTORS,EQ,28-Jan-2021,267.5,266.8
TATAMOTORS,EQ,29-Jan-2021,266.8,262.7
TATAMOTORS,EQ,01-Feb-2021,262.7,279.6
TATAMOTORS,EQ,02-Feb-2021,279.6,322
TATAMOTORS,EQ,03-Feb-2021,322,331
TATAMOTORS,EQ,04-Feb-2021,331,326.15
TATAMOTORS,EQ,05-Feb-2021,326.15,315.9
TATAMOTORS,EQ,08-Feb-2021,315.9,335.95
TATAMOTORS,EQ,09-Feb-2021,335.95,325.05
TATAMOTORS,EQ,10-Feb-2021,325.05,328.9
TATAMOTORS,EQ,11-Feb-2021,328.9,325
TATAMOTORS,EQ,12-Feb-2021,325,325.4
TATAMOTORS,EQ,15-Feb-2021,325.4,333.35
TATAMOTORS,EQ,16-Feb-2021,333.35,329.2
TATAMOTORS,EQ,17-Feb-2021,329.2,330.15
TATAMOTORS,EQ,18-Feb-2021,330.15,323.85
TATAMOTORS,EQ,19-Feb-2021,323.85,311.85
TATAMOTORS,EQ,22-Feb-2021,311.85,304.5
TATAMOTORS,EQ,23-Feb-2021,304.5,324
TATAMOTORS,EQ,24-Feb-2021,324,321.65
TATAMOTORS,EQ,25-Feb-2021,321.65,333.15
TATAMOTORS,EQ,26-Feb-2021,333.15,322.95
TATAMOTORS,EQ,01-Mar-2021,322.95,328.3
TATAMOTORS,EQ,02-Mar-2021,328.3,345.75
TATAMOTORS,EQ,03-Mar-2021,345.75,348.5
TATAMOTORS,EQ,04-Mar-2021,348.5,339.2
TATAMOTORS,EQ,05-Mar-2021,339.2,325.15
TATAMOTORS,EQ,08-Mar-2021,325.15,321.25
TATAMOTORS,EQ,09-Mar-2021,321.25,315.2
TATAMOTORS,EQ,10-Mar-2021,315.2,321.45
TATAMOTORS,EQ,12-Mar-2021,321.45,317.55
TATAMOTORS,EQ,15-Mar-2021,317.55,318.55
TATAMOTORS,EQ,16-Mar-2021,318.55,319.95
TATAMOTORS,EQ,17-Mar-2021,319.95,305.8
TATAMOTORS,EQ,18-Mar-2021,305.8,307
TATAMOTORS,EQ,19-Mar-2021,307,308.95
TATAMOTORS,EQ,22-Mar-2021,308.95,303.05
TATAMOTORS,EQ,23-Mar-2021,303.05,307.4
TATAMOTORS,EQ,24-Mar-2021,307.4,294.45
TATAMOTORS,EQ,25-Mar-2021,294.45,285.55
TATAMOTORS,EQ,26-Mar-2021,285.55,296.4
TATAMOTORS,EQ,30-Mar-2021,296.4,297.05
TATAMOTORS,EQ,31-Mar-2021,297.05,301.8
TATAMOTORS,EQ,01-Apr-2021,301.8,307.75
TATAMOTORS,EQ,05-Apr-2021,307.75,305.05
TATAMOTORS,EQ,06-Apr-2021,305.05,307.75
